Time,ID,Sensor A,Sensor X,Sensor Y,Sensor Z
2024-11-15 11:50:04,230,1,2726,2084,2309
2024-11-15 11:50:04,231,1,2373,2264,2903
2024-11-15 11:50:03,229,1,2392,2039,2337
2024-11-15 11:50:03,228,1,2207,2096,2462
2024-11-15 11:50:02,227,1,2141,2184,2621
2024-11-15 11:50:02,226,1,2413,2393,2961
2024-11-15 11:50:01,225,1,2507,2376,2966
2024-11-15 11:50:01,224,1,2565,2407,2939
2024-11-15 11:50:00,223,1,2861,2515,2729
2024-11-15 11:50:00,222,1,2994,2726,2554
2024-11-15 11:49:59,221,1,2997,2691,2583
2024-11-15 11:49:57,220,1,2605,3088,2614
2024-11-15 11:49:56,218,1,2429,2349,2901
2024-11-15 11:49:56,219,1,2580,2837,2880
2024-11-15 11:49:55,217,1,2467,2489,2991
2024-11-15 11:49:55,216,1,2532,2373,2846
2024-11-15 11:49:54,214,1,2295,2027,2437
2024-11-15 11:49:54,215,1,2313,2025,2402
2024-11-15 11:49:53,213,1,2299,2023,2440
2024-11-15 11:49:53,212,1,2363,1961,2545
